,title,name
512,Salad Drive,saladdrive
513,Додо Пицца,dodopizza.minsk
514,Донер Мастер,17jb25qzg0n8j
515,KFC,kfcbyofficial
516,Макдональдс,mcdonalds_belarus
517,Boo Coffee,1ww3563r0d3s
518,Yummy Coffee,yummy.coffee
519,My family coffee,my_family_coffee
520,Паб Еда,pabeda_pub
521,Ресторан Магнат,magnat_restoran
522,Кафеоль,cafeole.by
523,Coffee Life,coffee_life_minsk
524,Cafeole,cafeole.by
525,Кофе Саунд,coffeesoundby
526,Кофе Саунд,coffeesoundby
527,Кофе-Плюс,Coffeeplusby
528,Buno Cafe,cafebuno
529,Domino’s Pizza,dominosby
530,Easy Soup,easysoup.minsk
531,Stolle,stolle_minsk
532,Brunch&Lunch,cafe.brunch.lunch
533,Sultan cafe,sultancafeminsk
534,Texas Chicken,texaschickenbelarus
535,Hero Pizza,heropizza.by
536,Garage food&coffee,cafegarageby
537,Dolce,dolce_minsk
538,Moulin,cafe.moulin
539,Burger King,burgerkingbelarus
540,Zefir,q6ujux6uwlhi
541,Ласкава,laskava_minsk
542,60 Зерен,60zeren
543,Coffeel,cafe.coffeel
544,АвiЯтор,cafe.aviyatar
545,Urbanfood,urbanfood.by
546,TokiNY,tokiny_noodles
547,Edu Cafe Belarus,Educafeminsk
548,Тимохин Закуток,t.z_malinovka
549,Beerpub,beer_pub_minsk
550,Пон-пушка family,pon_pushka
551,Bonjour,bonjour__coffee
552,Palermo,palermo_minsk
553,Пицца Domino's Pizza,dominosby
554,Амстердам,koronaby
555,Шаурма,shava_minsk
556,Papa John's Pizza,papajohnsby
557,Garage food&coffee,cafegarageby
558,Шавермыч,shavermych1
559,KawaUp,kawaup
560,Вано,gruzinskaya_pekarnya_vano
561,Фамилия,familia.cafe.bar
562,OkeyCoffee,okey.coffee
563,Шам,8hc5ia3kkpmy
564,Домик сторожа,domik_vartaunika
565,Гриль ФУД Драйв,grillfooddrive
566,Verrine,verrineminsk
567,Lavazza Club,lavazza_club
568,Bread & Vine,breadvine.by
569,You Coffee,youcoffeeby
570,Coffee Art,coffee_art_minsk
571,Бейкери дю солей,bakerydusoleil
572,Огинский,cafe_aginski
573,Пицца Domino's Pizza,dominosby
574,Moon coffee,moon_coffee_minsk
575,Особое место,osoboe.mesto.minsk
576,Cafe35,cafe35minsk
577,Футурис кофейня,futuriscoffee
578,Bagel House,bagelhouse.by
579,Union Coffee,unioncoffee
580,Манеки,11sffdapd01iv
581,Easy Soup,easysoup.minsk
582,Пицца Темпо,pizzatempo
583,Балкон,cafe.balkon
584,Dreva,dreva.minsk
585,Woogly,woogly_minsk
586,Васильки,restoran.vasilki
587,Underdog,underdog.minsk
588,BurgerLab,burgerlab.by
589,Китчен Кофе Ростерс,kitchencoffeeroasters
590,BackDoor,backdoor.bar
591,Middle Ground,middleground.fbi
592,Чб кофе с собой,coffee.chb
593,PizzaMania,pizzamaniaby
594,Кофе профиль,coffeeprofil
595,Кофе,coffee_metro_minsk
596,Doner King,donerking.by
597,GARAGE food&coffee,cafegarageby
598,Sherlock coffee hall,sherlock_coffee_hall
599,Why Knot?,whyknotcoffee
600,Campus,campus_okt8
601,Doza coffee,Doza_coffee_minsk
602,Pinch,pinch_streetfood
603,Я ж тебе говорил!,mesto_pro_edu
604,Кофейня № 26,26_sverdlova
605,Surf Coffee,surfcoffee.minsk
606,Burger King,burgerkingbelarus
607,Тьерри,thierry_bakery
608,News Cafe,newscafe
609,Хлеб Соль,cafe.minsk
610,Перспектива,perspectiva.coffee
611,Italiano,italianominsk
612,Aura,auraclub_minsk
613,Yummy Coffee to Go,yummy.coffee
614,Green+Go,greengo.minsk
615,Стейк-кафе Жадина-говядина,steik.by
616,Кафе 4,1ihgi36wjsju2
617,Коммунарка,kommunarka.by
618,Ammy Yummy,barbeque_drive_minsk_
619,Pizza Smile,pizzasmile
620,Станция,coffee_metro_minsk
621,Everyday,coffee.every.day
622,Coffee mini,coffee_mini_
623,Осетинские пироги,pirogi_by
624,Рестобар 4v,restobar_4v
625,Пицца Domino's Pizza,dominosby
626,32.08 Вечное Лето,coffee32.08
627,Кафе Golden Coffee,golden_na_bogdanovicha
628,Золотой гребешок,zolotoigrebeshok
